Hourly measurement data supplied by UK-air on 13/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Dundee Mains Loan",
Latitude,,56.475434,,
Longitude,,-2.959861,,
Site Type,,Urban Background,,
Zone,,North East Scotland,,
Agglomeration,,#N/A,,
Local Authority,,"Dundee",,
Date,Time,"Nitrogen dioxide",Status
2024-01-12,20:00:00,15.23032,V ugm-3
2024-01-12,21:00:00,19.55318,V ugm-3
2024-01-12,22:00:00,18.93598,V ugm-3
2024-01-12,23:00:00,13.39548,V ugm-3
2024-01-12,24:00:00,5.30283,V ugm-3
2024-01-13,01:00:00,3.18009,V ugm-3
2024-01-13,02:00:00,5.47876,V ugm-3
2024-01-13,03:00:00,2.19539,V ugm-3
2024-01-13,04:00:00,1.90243,V ugm-3
2024-01-13,05:00:00,5.16262,V ugm-3
2024-01-13,06:00:00,3.48464,V ugm-3
2024-01-13,07:00:00,5.40019,V ugm-3
2024-01-13,08:00:00,5.78143,V ugm-3
2024-01-13,09:00:00,10.12994,V ugm-3
2024-01-13,10:00:00,11.0342,V ugm-3
2024-01-13,11:00:00,15.19969,V ugm-3
2024-01-13,12:00:00,13.15837,V ugm-3
2024-01-13,13:00:00,13.86921,V ugm-3
2024-01-13,14:00:00,10.09995,V ugm-3
2024-01-13,15:00:00,8.77218,V ugm-3
2024-01-13,16:00:00,11.51309,V ugm-3
2024-01-13,17:00:00,9.69894,V ugm-3
2024-01-13,18:00:00,9.22005,V ugm-3
2024-01-13,19:00:00,10.79476,V ugm-3
2024-01-13,20:00:00,11.85581,V ugm-3
2024-01-13,21:00:00,10.92531,V ugm-3
2024-01-13,22:00:00,8.32348,V ugm-3
2024-01-13,23:00:00,10.37688,V ugm-3
2024-01-13,24:00:00,7.69323,V ugm-3
2024-01-14,01:00:00,8.85936,V ugm-3
2024-01-14,02:00:00,9.49009,V ugm-3
2024-01-14,03:00:00,6.67731,V ugm-3
2024-01-14,04:00:00,2.95664,V ugm-3
2024-01-14,05:00:00,1.75612,V ugm-3
2024-01-14,06:00:00,1.37693,V ugm-3
2024-01-14,07:00:00,3.77608,V ugm-3
2024-01-14,08:00:00,5.82507,V ugm-3
2024-01-14,09:00:00,6.44739,V ugm-3
2024-01-14,10:00:00,6.44173,V ugm-3
2024-01-14,11:00:00,5.46926,V ugm-3
2024-01-14,12:00:00,4.65546,V ugm-3
2024-01-14,13:00:00,4.64793,V ugm-3
2024-01-14,14:00:00,4.11759,V ugm-3
2024-01-14,15:00:00,4.50395,V ugm-3
2024-01-14,16:00:00,10.07275,V ugm-3
2024-01-14,17:00:00,8.07837,V ugm-3
2024-01-14,18:00:00,5.49375,V ugm-3
2024-01-14,19:00:00,5.00186,V ugm-3
2024-01-14,20:00:00,5.35844,V ugm-3
2024-01-14,21:00:00,4.23594,V ugm-3
2024-01-14,22:00:00,3.86052,V ugm-3
2024-01-14,23:00:00,5.58949,V ugm-3
2024-01-14,24:00:00,3.14624,V ugm-3
2024-01-15,01:00:00,1.65127,V ugm-3
2024-01-15,02:00:00,0.62539,V ugm-3
2024-01-15,03:00:00,0.65666,V ugm-3
2024-01-15,04:00:00,0.804,V ugm-3
2024-01-15,05:00:00,0.66045,V ugm-3
2024-01-15,06:00:00,1.28251,V ugm-3
2024-01-15,07:00:00,1.94296,V ugm-3
2024-01-15,08:00:00,2.70479,V ugm-3
2024-01-15,09:00:00,8.77433,V ugm-3
2024-01-15,10:00:00,7.43639,V ugm-3
2024-01-15,11:00:00,5.17222,V ugm-3
2024-01-15,12:00:00,5.21439,V ugm-3
2024-01-15,13:00:00,4.64207,V ugm-3
2024-01-15,14:00:00,4.41228,V ugm-3
2024-01-15,15:00:00,5.89946,V ugm-3
2024-01-15,16:00:00,7.35016,V ugm-3
2024-01-15,17:00:00,12.49916,V ugm-3
2024-01-15,18:00:00,14.78845,V ugm-3
2024-01-15,19:00:00,8.96763,V ugm-3
2024-01-15,20:00:00,8.52468,V ugm-3
2024-01-15,21:00:00,8.16553,V ugm-3
2024-01-15,22:00:00,7.87463,V ugm-3
2024-01-15,23:00:00,5.49343,V ugm-3
2024-01-15,24:00:00,4.24361,V ugm-3
2024-01-16,01:00:00,3.87769,V ugm-3
2024-01-16,02:00:00,3.62512,V ugm-3
2024-01-16,03:00:00,4.05244,V ugm-3
2024-01-16,04:00:00,2.85853,V ugm-3
2024-01-16,05:00:00,4.67617,V ugm-3
2024-01-16,06:00:00,6.68513,V ugm-3
2024-01-16,07:00:00,10.31279,V ugm-3
2024-01-16,08:00:00,13.02973,V ugm-3
2024-01-16,09:00:00,23.83439,V ugm-3
2024-01-16,10:00:00,20.22007,V ugm-3
2024-01-16,11:00:00,16.66903,V ugm-3
2024-01-16,12:00:00,23.1095,V ugm-3
2024-01-16,13:00:00,14.75572,V ugm-3
2024-01-16,14:00:00,19.67486,V ugm-3
2024-01-16,15:00:00,25.82812,V ugm-3
2024-01-16,16:00:00,41.51405,V ugm-3
2024-01-16,17:00:00,18.56562,V ugm-3
2024-01-16,18:00:00,11.06119,V ugm-3
2024-01-16,19:00:00,8.34213,V ugm-3
2024-01-16,20:00:00,9.58578,V ugm-3
2024-01-16,21:00:00,8.58891,V ugm-3
2024-01-16,22:00:00,5.29608,V ugm-3
2024-01-16,23:00:00,3.67168,V ugm-3
2024-01-16,24:00:00,3.09388,V ugm-3
2024-01-17,01:00:00,1.87681,V ugm-3
2024-01-17,02:00:00,1.39233,V ugm-3
2024-01-17,03:00:00,1.37894,V ugm-3
2024-01-17,04:00:00,1.90107,V ugm-3
2024-01-17,05:00:00,2.09806,V ugm-3
2024-01-17,06:00:00,3.91116,V ugm-3
2024-01-17,07:00:00,6.77616,V ugm-3
2024-01-17,08:00:00,11.97447,V ugm-3
2024-01-17,09:00:00,21.15275,V ugm-3
2024-01-17,10:00:00,28.97879,V ugm-3
2024-01-17,11:00:00,16.24696,V ugm-3
2024-01-17,12:00:00,7.99054,V ugm-3
2024-01-17,13:00:00,6.80094,V ugm-3
2024-01-17,14:00:00,7.29057,V ugm-3
2024-01-17,15:00:00,8.15313,V ugm-3
2024-01-17,16:00:00,9.79412,V ugm-3
2024-01-17,17:00:00,14.46839,V ugm-3
2024-01-17,18:00:00,20.86593,V ugm-3
2024-01-17,19:00:00,15.89137,V ugm-3
2024-01-17,20:00:00,19.09107,V ugm-3
2024-01-17,21:00:00,14.03238,V ugm-3
2024-01-17,22:00:00,9.74062,V ugm-3
2024-01-17,23:00:00,12.90016,V ugm-3
2024-01-17,24:00:00,5.48519,V ugm-3
2024-01-18,01:00:00,2.02386,V ugm-3
2024-01-18,02:00:00,2.07732,V ugm-3
2024-01-18,03:00:00,1.61541,V ugm-3
2024-01-18,04:00:00,1.61733,V ugm-3
2024-01-18,05:00:00,2.81221,V ugm-3
2024-01-18,06:00:00,4.67237,V ugm-3
2024-01-18,07:00:00,7.34312,V ugm-3
2024-01-18,08:00:00,11.06151,V ugm-3
2024-01-18,09:00:00,23.69834,V ugm-3
2024-01-18,10:00:00,14.64774,V ugm-3
2024-01-18,11:00:00,11.75501,V ugm-3
2024-01-18,12:00:00,7.65233,V ugm-3
2024-01-18,13:00:00,7.78801,V ugm-3
2024-01-18,14:00:00,6.90108,V ugm-3
2024-01-18,15:00:00,8.49757,V ugm-3
2024-01-18,16:00:00,12.76481,V ugm-3
2024-01-18,17:00:00,16.93646,V ugm-3
2024-01-18,18:00:00,17.21938,V ugm-3
2024-01-18,19:00:00,16.95923,V ugm-3
2024-01-18,20:00:00,20.43513,V ugm-3
2024-01-18,21:00:00,15.24823,V ugm-3
2024-01-18,22:00:00,10.26247,V ugm-3
2024-01-18,23:00:00,3.56923,V ugm-3
2024-01-18,24:00:00,4.76989,V ugm-3
2024-01-19,01:00:00,3.61552,V ugm-3
2024-01-19,02:00:00,1.63818,V ugm-3
2024-01-19,03:00:00,1.37584,V ugm-3
2024-01-19,04:00:00,2.0008,V ugm-3
2024-01-19,05:00:00,2.18417,V ugm-3
2024-01-19,06:00:00,2.37914,V ugm-3
2024-01-19,07:00:00,2.23194,V ugm-3
2024-01-19,08:00:00,5.09465,V ugm-3
2024-01-19,09:00:00,8.56878,V ugm-3
2024-01-19,10:00:00,6.41691,V ugm-3
2024-01-19,11:00:00,4.6337,V ugm-3
2024-01-19,12:00:00,4.43679,V ugm-3
2024-01-19,13:00:00,4.34704,V ugm-3
2024-01-19,14:00:00,4.44647,V ugm-3
2024-01-19,15:00:00,5.02946,V ugm-3
2024-01-19,16:00:00,5.70414,V ugm-3
2024-01-19,17:00:00,4.71051,V ugm-3
2024-01-19,18:00:00,5.99853,V ugm-3
2024-01-19,19:00:00,4.94745,V ugm-3
2024-01-19,20:00:00,6.76683,V ugm-3
2024-01-19,21:00:00,7.57322,V ugm-3
2024-01-19,22:00:00,7.67458,V ugm-3
2024-01-19,23:00:00,4.95326,V ugm-3
2024-01-19,24:00:00,3.75692,V ugm-3
2024-01-20,01:00:00,2.98244,V ugm-3
2024-01-20,02:00:00,2.8473,V ugm-3
2024-01-20,03:00:00,2.75632,V ugm-3
2024-01-20,04:00:00,2.23683,V ugm-3
2024-01-20,05:00:00,1.89669,V ugm-3
2024-01-20,06:00:00,1.71149,V ugm-3
2024-01-20,07:00:00,2.03996,V ugm-3
2024-01-20,08:00:00,3.18614,V ugm-3
2024-01-20,09:00:00,4.09159,V ugm-3
2024-01-20,10:00:00,9.24358,V ugm-3
2024-01-20,11:00:00,9.652,V ugm-3
2024-01-20,12:00:00,5.98633,V ugm-3
2024-01-20,13:00:00,6.89178,V ugm-3
2024-01-20,14:00:00,6.46975,V ugm-3
2024-01-20,15:00:00,5.70951,V ugm-3
2024-01-20,16:00:00,9.86637,V ugm-3
2024-01-20,17:00:00,8.382,V ugm-3
2024-01-20,18:00:00,11.82833,V ugm-3
2024-01-20,19:00:00,11.68116,V ugm-3
2024-01-20,20:00:00,10.91899,V ugm-3
2024-01-20,21:00:00,7.48044,V ugm-3
2024-01-20,22:00:00,4.4259,V ugm-3
2024-01-20,23:00:00,3.71342,V ugm-3
2024-01-20,24:00:00,2.90154,V ugm-3
2024-01-21,01:00:00,3.55147,V ugm-3
2024-01-21,02:00:00,2.40834,V ugm-3
2024-01-21,03:00:00,2.23199,V ugm-3
2024-01-21,04:00:00,3.08543,V ugm-3
2024-01-21,05:00:00,2.85847,V ugm-3
2024-01-21,06:00:00,3.19264,V ugm-3
2024-01-21,07:00:00,3.85121,V ugm-3
2024-01-21,08:00:00,4.46986,V ugm-3
2024-01-21,09:00:00,8.1477,V ugm-3
2024-01-21,10:00:00,4.7602,V ugm-3
2024-01-21,11:00:00,4.31686,V ugm-3
2024-01-21,12:00:00,4.12981,V ugm-3
2024-01-21,13:00:00,7.51732,V ugm-3
2024-01-21,14:00:00,21.23954,V ugm-3
2024-01-21,15:00:00,14.07986,V ugm-3
2024-01-21,16:00:00,15.19546,V ugm-3
2024-01-21,17:00:00,6.66193,V ugm-3
2024-01-21,18:00:00,6.08711,V ugm-3
2024-01-21,19:00:00,4.50977,V ugm-3
2024-01-21,20:00:00,3.93495,V ugm-3
2024-01-21,21:00:00,3.60469,V ugm-3
2024-01-21,22:00:00,2.22417,V ugm-3
2024-01-21,23:00:00,1.46426,V ugm-3
2024-01-21,24:00:00,1.00252,V ugm-3
2024-01-22,01:00:00,1.12956,V ugm-3
2024-01-22,02:00:00,0.81666,V ugm-3
2024-01-22,03:00:00,0.80141,V ugm-3
2024-01-22,04:00:00,0.60464,V ugm-3
2024-01-22,05:00:00,0.8452,V ugm-3
2024-01-22,06:00:00,0.79945,V ugm-3
2024-01-22,07:00:00,1.46753,V ugm-3
2024-01-22,08:00:00,2.84748,V ugm-3
2024-01-22,09:00:00,3.65479,V ugm-3
2024-01-22,10:00:00,No data,V ugm-3
2024-01-22,11:00:00,3.07232,V ugm-3
2024-01-22,12:00:00,3.44622,V ugm-3
2024-01-22,13:00:00,2.97099,V ugm-3
2024-01-22,14:00:00,3.35471,V ugm-3
2024-01-22,15:00:00,4.32288,V ugm-3
2024-01-22,16:00:00,No data,V ugm-3
2024-01-22,17:00:00,4.28302,V ugm-3
2024-01-22,18:00:00,4.41832,V ugm-3
2024-01-22,19:00:00,3.70448,V ugm-3
2024-01-22,20:00:00,3.70841,V ugm-3
2024-01-22,21:00:00,3.31485,V ugm-3
2024-01-22,22:00:00,3.27893,V ugm-3
2024-01-22,23:00:00,2.12971,V ugm-3
2024-01-22,24:00:00,1.99049,V ugm-3
2024-01-23,01:00:00,1.13781,V ugm-3
2024-01-23,02:00:00,1.70802,V ugm-3
2024-01-23,03:00:00,1.66289,V ugm-3
2024-01-23,04:00:00,2.56594,V ugm-3
2024-01-23,05:00:00,1.37648,V ugm-3
2024-01-23,06:00:00,3.42909,V ugm-3
2024-01-23,07:00:00,4.6205,V ugm-3
2024-01-23,08:00:00,7.81287,V ugm-3
2024-01-23,09:00:00,15.54201,V ugm-3
